g1_1,g1_2,g1_3,g1_4,g1_5,g1_6,g1_7,g1_8,g1_9,g1_10,g1_11,g1_12,g1_13,g1_14,g1_15,g1_16,g1_17,g1_18,g1_19,g1_20,g1_21,g2_1,g2_2,g2_3,g2_4,g2_5,g2_6,g2_7,g2_8,g2_9,g2_10,g2_11,g2_12,g2_13,g2_14,g2_15,g2_16,g2_17,g2_18,g2_19,g2_20,g2_21,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,class
1.25,11,12,23,3,8,4,12,5,4,7,11,3.824705425,3.52190864,14.0373355,4.361832874,1.254291816,0.805050819,0.024433368,0.031904762,0.310730827,16,6,4,10,17,6,10,3,8,-4,-5,-9,2.17256844,2.465562761,2.418997879,0.568044683,1.891756442,0.043936934,0.002466389,0.342602762,6,1.69,4,-1,3,0,1,0,0,2.103129053,7,6,13,0,1,2,-1,9,11,20,1.652136985,1.056345879,-0.637464625,0.237006135,0,6.97668642,1.942834995,-0.031871935,2.16,0
3.9,24,16,40,11,27,27,19,30,0,-11,-11,2.975196167,3.138064376,10.21732607,6.031793961,0.865434709,1.838085152,0.964399164,3.99E-05,0.590349561,2.05,30,25,55,7,32,16,35,26,16,9,25,4.994289969,4.798666125,10.37096154,1.996763816,0.718895442,0.364775851,0.00814786,0.605197841,3.6,1.67,-3,8,5,0,0,1,0,3.365743743,-1,-14,-15,1,-8,3,-2,-9,-27,-36,-2.019093802,-1.660601749,0.146539267,-0.158678664,0,-6.919155332,-4.339167579,-0.014848279,2.17,2
3.5,14,6,20,19,18,26,8,23,-8,-15,-23,1.815507395,1.875114509,10.51003268,5.919178846,0.547178419,1.566789881,0.640824276,1.85E-05,0.563193191,2.1,29,27,56,5,27,12,20,12,15,8,23,5,4.81525918,5.823561193,1.491412197,0.391321843,0.057772061,0.353454682,0.554917877,3.4,2.12,5,13,18,0,0,1,0,3.374960572,-13,-23,-36,6,6,-4,-4,-16,-30,-46,-3.184492605,-2.940144671,0.155856576,0.075377683,0,0.015576759,0.095617653,0.008275315,1.64,1
3.6,14,17,31,8,12,12,11,12,0,-1,-1,3.375221229,3.575089962,10.19694763,3.023428623,0.492600083,1.603155741,0.196911675,0.139456856,0.2965033,2.15,22,17,39,4,22,9,16,9,13,7,20,4.705612518,4.260355992,6.657143993,1.916478716,0.850410511,0.148636731,0.235746077,0.370233842,3.5,2.17,-3,5,2,0,0,1,0,0.205946587,-3,-5,-8,3,-4,2,-10,-7,-14,-21,-1.330391289,-0.68526603,-0.357810428,-0.313322975,0,-7.783969414,-3.63371537,-0.073730542,1.69,2
1.91,32,30,62,2,30,12,27,13,18,14,32,4.970413805,4.902201056,18.93035255,7.257928747,1.805646908,0.722840479,0.020115794,0.778800783,0.383401668,4,31,22,53,5,20,7,19,23,13,-4,9,4.839940475,4.592696213,2.737772842,0.898616043,1.127109434,0.164383107,0.145148198,0.308353832,3.5,2.1,-5,9,4,1,0,1,1,2.900287769,10,-1,9,7,-7,20,-7,22,1,23,0.130473329,0.309504843,0.678537474,-0.175775564,-2,10.05167956,4.520155905,0.075047836,1.72,1
6,1,1,2,18,3,5,0,4,-2,-4,-6,2.147671825,2.343439761,7.002304,2.065984,0.331072,1.142912,0.008075755,0.003517517,0.29504346,1.62,4,3,7,17,5,4,4,8,1,-4,-3,2.560825471,2.459473022,3.826368,1.126272,1.317632,0.008188701,0.00447164,0.289786442,4.2,1.81,3,11,14,0,0,0,1,3.775413992,-2,-3,-5,-5,1,-4,-1,2,-5,-3,-0.413153647,-0.116033261,-0.98656,0.01664,0,-6.201792,-1.760384,0.005257018,1.99,0
1.14,16,12,28,5,18,4,8,6,14,2,16,4.344341147,3.770902906,15.66054961,9.968079705,1.805542632,0.569818491,0.050175811,0.051560469,0.636508932,23,7,8,15,14,6,9,6,11,-3,-5,-8,2.512941047,2.565817412,4.730233373,0.75721919,1.48226136,0.070025985,0.014051867,0.460649964,7.5,1.51,8,-7,1,0,1,0,0,1.709429664,8,5,13,7,-2,-1,0,19,5,24,1.8314001,1.205085494,0.323281273,-0.187400699,0,5.39194277,5.237846332,0.175858968,2.43,1
6,13,3,16,14,6,7,5,10,-1,-5,-6,2.693189439,2.572656006,7.578894957,3.775709885,0.6112895,0.793512869,0.065101639,0.011678567,0.498187388,1.57,16,19,35,1,14,3,16,4,11,12,23,4.977289104,4.406715159,8.506754343,1.840720754,0.501001763,0.00960953,0.071005354,0.593625375,3.6,1.99,-4,2,-2,0,0,0,1,0,-6,-13,-19,2,-9,2,-4,-13,-16,-29,-2.284099666,-1.834059154,0.110287737,-1.047207885,0,-6.75127808,-4.731044458,-0.095437987,1.76,2
2.3,17,18,35,15,18,22,17,26,-4,-9,-13,2.594036985,2.756590086,9.182707397,4.659784033,0.77882687,1.985078746,0.873230649,5.77E-05,0.507452087,3.2,26,16,42,11,24,14,18,27,10,-9,1,3.961971373,3.93167983,4.209365664,1.066156434,1.807567125,0.467406684,0.000982903,0.530862521,3.3,2.1,2,-3,-1,0,0,0,0,2.455947858,1,-8,-7,-9,4,3,2,5,-19,-14,-1.367934388,-1.175089743,-1.028740255,0.918922312,0,1.253412151,0.45041837,-0.023410434,1.71,0
1.5,25,28,53,1,21,13,27,16,8,11,19,4.939886018,4.69733425,11.64206865,4.573840356,1.696428338,0.827684691,0.029447717,0.546074427,0.392871791,6,16,8,24,18,18,20,12,30,-2,-18,-20,2.335860255,2.456577169,3.09099165,1.147173813,2.339113178,0.544181623,0.006066339,0.311424844,4.33,1.74,1,-1,0,0,0,0,0,2.450875698,17,12,29,-9,1,7,-2,26,13,39,2.604025763,2.240757081,-0.64268484,-0.319489122,0,1.716747291,1.482848706,0.081446947,2.08,1
2.35,15,9,24,16,12,18,6,16,-6,-10,-16,2.179270663,2.36288871,6.088,1.3152,0.2,1.096,0.486752256,1.95E-05,0.216031537,3.7,16,11,27,11,14,17,17,26,-3,-9,-12,2.815616149,2.536221971,3.877673867,1.670388458,1.264661695,0.471776463,0.000242381,0.414359135,3,2.56,2,-1,1,0,0,0,0,0.681266603,4,-7,-3,-14,1,-11,2,3,-7,-4,-0.636345486,-0.17333326,-1.064661695,-0.574388458,0,-3.270243937,-2.562473867,-0.198327598,1.51,1
1.615,15,4,19,8,12,4,6,12,8,-6,2,3.320842865,3.037618346,10.27536833,6.721956536,1.302976168,1.190019912,0.035181946,0.023992836,0.654181565,5,12,4,16,10,8,3,4,9,5,-5,0,2.993171827,2.700073284,6.365329101,1.357061018,1.012725719,0.038774208,0.016490019,0.533630276,3.4,1.75,5,3,8,0,1,0,0,4.076248443,11,-8,3,3,0,3,4,13,-11,2,0.327671038,0.337545062,0.290250449,-0.167041106,0,-1.652982419,0.356627436,0.120551289,1.85,1
1.83,21,19,40,12,15,14,15,18,1,-3,-2,3.794887878,3.479770992,9.80043252,5.064557348,0.951965072,0.86385865,0.514202106,0.003379593,0.516768759,4.5,14,22,36,14,15,19,21,22,-4,-1,-5,3.524148123,3.387605092,7.102891703,1.391340333,1.443443565,0.553096814,0.002417552,0.522375188,3.5,1.94,4,-2,2,0,0,0,0,1.367256102,-1,5,4,-7,-7,-4,3,2,1,3,0.270739754,0.0921659,-0.491478494,-0.527481683,0,-3.796866625,-2.038334355,-0.00560643,1.84,1
1.33,11,12,23,7,9,6,8,7,3,1,4,3.564170844,3.319994146,15.13454,7.801185095,0.938822259,0.796543236,0.043066924,0.023052063,0.515455712,10,7,9,16,11,6,10,9,15,-4,-6,-10,2.478865566,2.468854491,5.97587414,1.276513764,1.744941675,0.067168187,0.00504176,0.475163897,5,1.65,3,-1,2,0,0,0,0,3.33736979,2,5,7,-6,-3,-2,1,9,5,14,1.085305278,0.851139655,-0.806119417,-0.479970528,0,2.558091783,1.825310955,0.040291816,2.19,1
2.3,3,0,3,12,2,3,2,5,-1,-3,-4,2.380325566,2.418541768,3.4736,1.6608,0.6224,1.0912,0.004302874,0.003606563,0.478120682,3,6,4,10,7,4,0,4,0,4,4,8,3.2642,2.806742,4.2864,1.1472,0,0.003958835,0.00381048,0.722297115,3.25,2.06,1,-2,-1,0,0,0,0,1.298734645,-1,-6,-7,2,-1,2,1,-5,-7,-12,-0.883874434,-0.388200232,0.6224,-0.056,0,-2.4608,-2.6256,-0.244176433,1.66,2
2.62,11,7,18,13,9,12,5,11,-3,-6,-9,2.439309362,2.584386349,8.35904062,2.633993875,0.435887836,1.398835131,0.15941411,0.000982903,0.315107199,3,9,13,22,10,11,20,16,13,-9,3,-6,2.81490915,2.951864276,2.7600216,1.212437957,2.093897701,0.145148198,0.001827146,0.257454648,3.2,2.23,1,1,2,0,0,0,0,0.849836688,-2,-2,-4,-4,-4,-15,0,-6,3,-3,-0.375599788,-0.367477927,-1.658009865,0.186397174,0,-2.361377981,-0.126027726,0.057652551,1.66,1
2.3,12,8,20,20,10,16,9,21,-6,-12,-18,2.262280553,2.157463381,10.83773402,4.544885248,0.823704895,1.290773904,0.410598721,0.000242381,0.419357519,2.7,12,9,21,17,14,18,11,23,-4,-12,-16,2.38476269,2.426618807,4.779834312,0.727657168,1.358933675,0.486752256,0.003985869,0.465194124,3.2,1.85,2,2,4,0,0,0,0,1.214363022,3,-4,-1,-13,5,-9,7,6,-8,-2,-0.122482138,-0.269155426,-0.53522878,0.563116737,0,0.562809936,-0.234949063,-0.045836605,1.75,0
2.2,21,16,37,12,23,25,15,22,-2,-7,-9,3.280770701,3.182126925,10.26211263,2.720334897,1.264209284,1.740684455,0.876511411,0.000320701,0.26508527,3.4,26,14,40,11,15,18,12,23,-3,-11,-14,3.404324365,2.807127397,4.253141978,1.429212804,0.783376628,0.876511411,0.000320701,0.39337974,3.2,2.21,0,-2,-2,0,0,0,0,0.182966935,7,-10,-3,0,13,-3,7,9,-4,5,-0.123553665,0.374999528,0.480832656,0.31147165,0,-0.549684575,-1.532807081,-0.12829447,1.65,2
1.61,27,9,36,13,21,16,11,22,5,-11,-6,3.431428787,3.407998254,8.436601531,4.020064649,0.756430359,1.352974085,0.765821967,0.00012341,0.476502847,5.5,13,7,20,20,13,21,6,26,-8,-20,-28,1.517121631,1.698512934,4.995113098,0.665852346,1.796488493,0.548735418,4.14E-08,0.545363576,3.6,2.06,0,1,1,0,0,0,0,0,20,-4,16,-5,10,-10,9,25,-3,22,1.914307156,1.70948532,-1.040058134,0.687121739,0,-0.722633375,-0.975048449,-0.068860729,1.68,1
1.73,27,23,50,5,19,10,22,24,9,-2,7,4.417779351,4.410488226,15.59925685,8.427349639,1.074787342,1.022544036,0.321779456,0.184519524,0.540240456,5,27,10,37,12,24,15,12,23,9,-11,-2,3.712362757,3.49807793,4.741133779,1.359382069,1.262388062,0.771908786,0.011678567,0.522667486,3.6,2,3,-4,-1,0,1,0,0,2.523718712,17,-4,13,-4,-2,7,0,20,-11,9,0.705416594,0.912410296,-0.18760072,-0.336838032,0,6.528224305,3.68621586,0.01757297,1.79,1
2.9,5,4,9,18,5,9,9,18,-4,-9,-13,1.994964566,2.221510344,13.04203685,3.49559134,0.932468204,2.130848716,0.055360503,0.007597014,0.268024955,2.5,11,9,20,9,16,11,8,5,5,3,8,3.438545615,3.032618525,5.318939595,2.232913094,1.140945496,0.047352347,0.037440585,0.419632997,3.6,1.78,2,4,6,0,0,0,0,2.929511044,-4,-7,-11,0,1,-2,2,-7,-14,-21,-1.443581049,-0.811108181,-0.208477292,-0.102064379,0,0.366819144,-1.823348255,-0.151608042,2.03,0
2.25,24,7,31,18,18,17,11,32,1,-21,-20,2.576285122,2.22214324,7.664670491,3.229905658,1.142801709,0.75739987,0.879437991,8.76E-06,0.421401763,3.1,29,15,44,9,27,18,17,23,9,-6,3,4.191422772,4.126362509,4.159200592,1.110157395,1.226800458,0.490757307,0.002725782,0.487334508,3.25,2.03,0,1,1,0,0,0,0,1.021184987,9,-22,-13,-5,0,-7,5,7,-30,-23,-1.61513765,-1.90421927,-0.083998749,-0.352757525,0,-0.869920278,-0.929294934,-0.065932745,1.7,0
1.9,0,3,3,20,0,2,1,0,-2,1,-1,2.5521125,2.4912225,4.04,1.32,0.2,0.32,0.002187491,0.001827146,0.326732673,4,3,0,3,20,1,0,1,2,1,-1,0,2.6015,2.5091,1.64,0.36,0.32,0.002187491,0.001827146,0.325396825,3.25,2.05,2,1,3,0,0,0,0,3.364168451,0,0,0,-2,1,1,-1,-1,0,-1,-0.0493875,-0.0178775,-0.12,-0.04,0,-1,-0.32,0.001335848,1.69,0
1.14,34,24,58,3,38,14,28,17,24,11,35,3.817618529,3.263424419,13.16813261,7.72716288,1.557739008,0.788972032,0.023711252,0.557105862,0.586807797,21,22,1,23,19,18,14,11,46,4,-35,-31,1.655322457,1.965746204,6.011105001,0.982230595,2.55715527,0.664664935,0.000488095,0.57748324,7.5,1.4,5,-3,2,0,1,0,0,3.081066868,33,2,35,-8,3,14,-1,59,7,66,2.162296072,1.297678215,-0.999416262,-0.193258563,0,2.758990691,1.716057879,0.009324556,2.77,1
1.8,23,24,47,2,20,9,25,11,11,14,25,4.886956144,4.699508653,18.30897886,5.527918596,2.12053623,1.063814797,0.022120511,0.265802959,0.301923916,4.5,21,15,36,6,21,10,16,15,11,1,12,4.418603983,3.901649568,5.742528949,1.86338683,1.100998987,0.154616789,0.07730474,0.382676832,4,1.57,1,5,6,0,1,0,1,2.844691721,8,3,11,5,-7,15,-10,10,3,13,0.468352161,0.797859086,1.019537243,-0.799572034,0,3.302768741,-0.214610353,-0.080752916,2.36,2
2.54,13,7,20,20,12,15,7,19,-3,-12,-15,2.250906042,2.281330832,11.01264794,3.256724879,0.77402406,1.46684007,0.471776463,1.95E-05,0.295725869,3.1,15,8,23,19,16,19,9,17,-3,-8,-11,2.584078098,2.566303433,3.62219618,1.087053135,1.547455695,0.485065075,1.24E-05,0.303823915,3.2,2.33,0,2,2,0,0,0,0,1.702572921,5,-8,-3,-5,6,-12,3,5,-9,-4,-0.333172056,-0.284972602,-0.773431634,0.379786934,0,-0.909376635,-0.365471301,-0.008098046,1.6,2
1.33,18,19,37,1,11,4,13,5,7,8,15,4.571495322,4.156073679,14.64860476,6.90437848,1.486728297,0.474407944,0.031477816,0.110250525,0.471333523,10,11,15,26,6,9,15,15,10,-6,5,-1,3.291936711,3.127738781,6.299755711,1.531302141,1.462537419,0.088281719,0.041378246,0.537874991,5,1.81,3,2,5,0,1,0,0,2.612148033,3,8,11,1,-11,-2,-4,2,14,16,1.279558611,1.028334898,0.024190878,-1.056894198,0,2.936300204,0.604622769,-0.066541469,1.93,0
3.2,12,8,20,18,11,10,11,22,1,-11,-10,2.661814131,2.497379217,8.772627623,3.117231609,1.047177378,1.338697328,0.197898699,0.017597472,0.355336137,2.4,14,10,24,12,17,13,9,10,4,-1,3,3.298562832,3.140253424,4.275500685,1.309379031,1.24377569,0.181444482,0.064248301,0.298372895,3.4,1.96,3,3,6,0,0,1,0,3.199123971,2,-6,-4,1,1,-2,5,2,-15,-13,-0.636748701,-0.642874207,-0.196598312,0.029318297,0,-5.556759401,-1.158269076,0.056963242,1.83,1
1.57,7,8,15,10,5,3,10,9,2,1,3,3.180825082,2.68089615,8.78424535,5.772527616,1.666339123,0.833356595,0.024709795,0.014264234,0.657145536,5.5,9,1,10,13,6,3,2,9,3,-7,-4,2.506732727,2.479963227,4.221531136,0.541505946,0.764465971,0.026030868,0.009803655,0.455436986,3.6,1.9,5,1,6,1,1,0,0,2.480377518,6,-1,5,-4,1,7,3,9,-2,7,0.674092355,0.200932923,0.901873152,0.29185065,0,-0.484942848,1.55099648,0.20170855,1.79,0
2.3,27,15,42,10,22,15,19,24,7,-5,2,3.747396498,3.806357776,13.20296931,4.367663648,0.821797188,1.494497297,0.34338985,0.016572675,0.330809195,3.4,23,19,42,9,20,19,15,20,1,-5,-4,3.743268016,3.646660666,3.013977834,1.100912271,1.348350309,0.34338985,0.036699212,0.257150798,3.4,2.07,0,0,0,0,0,0,0,2.650904359,8,-8,0,2,0,0,4,12,-6,6,0.004128483,0.159697109,-0.52655312,0.393585025,0,1.48230634,1.353685813,0.073658397,1.75,0
2.4,1,3,4,15,1,2,3,6,-1,-3,-4,2.362888758,2.442987136,6.46528,1.85504,0.5904,1.14912,0.005955309,0.004339483,0.286923382,3,2,3,5,13,2,4,3,4,-2,-1,-3,2.415600599,2.532623767,2.35936,0.54816,1.1984,0.005955309,0.003263353,0.321263617,3.2,2.3,-1,1,0,0,0,0,0,4.391975425,-2,1,-1,-3,-1,-1,4,0,-1,-1,-0.05271184,-0.08963663,-0.608,0.60096,0,-0.87872,-0.50432,-0.034340235,1.61,0
3.6,19,12,31,13,18,19,12,24,-1,-12,-13,2.867567999,2.741527384,10.32461319,3.554107007,1.019364647,1.449180038,0.437262218,0.002357862,0.344236335,2.2,18,15,33,13,14,14,18,20,0,-2,-2,3.49872528,3.182385284,6.400331194,2.134886321,1.738017263,0.437262218,0.002357862,0.392543547,3.4,2.25,-1,0,-1,0,0,1,0,1.238102623,4,-6,-2,-2,1,-2,10,1,-12,-11,-0.631157281,-0.440857899,-0.718652616,-0.685706283,0,-5.980154117,-2.846224187,-0.048307212,1.65,2
1.25,19,19,38,3,25,11,20,11,14,9,23,4.737272668,4.378724843,10.67529156,5.728307228,1.898854763,1.156807272,0.041012069,0.119432968,0.536594921,13,10,8,18,15,9,16,11,14,-7,-3,-10,2.550622728,2.51826553,4.661257599,0.973899013,1.479216484,0.15941411,0.007226503,0.540003408,5,2.15,9,-6,3,0,1,0,0,0.138497867,11,9,20,11,0,4,2,17,16,33,2.18664994,1.860459314,0.419638279,0.182908258,0,2.043387525,1.067049629,-0.003408488,1.6,1
2.62,11,7,18,16,10,8,8,14,2,-6,-4,2.812355061,2.683276229,12.92310386,4.35776566,1.259964152,1.514915684,0.088921617,0.001764302,0.337207354,2.87,13,10,23,7,12,10,9,7,2,2,4,3.368929415,2.955014951,4.820706828,1.500571713,0.800781147,0.078473052,0.012034232,0.362622068,3.1,2.3,1,0,1,0,0,0,0,2.679135895,1,-6,-5,3,-1,-2,2,0,-8,-8,-0.556574353,-0.271738723,0.459183005,0.014343972,0,-0.370921121,-0.462941168,-0.025414714,1.61,0
1.65,16,13,29,3,14,3,17,5,11,12,23,4.83464301,3.936878842,15.53171108,6.30615548,2.613666259,0.353987723,0.025700367,0.040762204,0.406018078,5,10,4,14,15,8,10,5,10,-2,-5,-7,2.50413914,2.5136939,5.119831214,1.000333738,1.49920854,0.054407678,0.003985869,0.355264535,3.8,1.8,0,1,1,0,0,0,0,1.999427221,12,3,15,4,-2,7,-3,16,14,30,2.33050387,1.423184942,1.114457719,-0.646346015,0,1.120390189,1.186324265,0.050753543,2,1
2.2,17,4,21,10,11,6,2,6,5,-4,1,3.204457252,3.050233546,9.846398749,6.127812969,0.627355581,0.488086567,0.104292528,0.021818436,0.622340525,3.5,11,8,19,11,8,12,8,11,-4,-3,-7,2.764489142,2.771947094,5.757266932,0.892024155,1.362517742,0.104292528,0.021818436,0.500386158,3.25,2.13,2,4,6,0,0,0,0,0,9,-7,2,0,-2,-10,-2,8,0,8,0.43996811,0.278286452,-0.735162161,-0.403937588,0,-1.659249108,0.370546037,0.121954367,1.65,1
2.7,34,15,49,9,29,18,18,30,11,-12,-1,4.198369542,3.944295201,11.67373436,6.701353616,1.959866525,1.647912671,0.467406684,0.010254896,0.574053975,2.5,35,24,59,4,36,13,18,17,23,1,24,4.854084977,4.791236246,7.151822677,1.085456086,1.052937925,0.124930212,0.082084999,0.473127624,3.25,1.94,3,10,13,1,0,0,1,0.064544838,10,-20,-10,12,0,5,-6,10,-35,-25,-0.655715435,-0.846941045,0.906928601,0.562456586,-1,-3.442319555,-0.450469061,0.100926351,1.8,0
8.5,0,1,1,8,1,3,1,1,-2,0,-2,2.378540773,2.475708155,5.24,3.08,0.36,0.76,0.002187491,0.001930454,0.58778626,1.44,3,3,6,4,1,0,1,0,1,1,2,2.85,2.598,1.4,0.36,0,0.002120189,0.002187491,0.52238806,3.75,1.85,-3,3,0,0,0,0,1,0.134485737,-3,-2,-5,1,2,1,0,-3,-1,-4,-0.471459227,-0.122291845,0.36,0.4,0,2.56,1.68,0.0653982,1.85,2
2.1,7,10,17,15,3,5,5,12,-2,-7,-9,2.781919986,2.475090187,8.869464876,5.543078167,0.858879916,0.931332913,0.088921617,0.002322758,0.624961962,3.5,13,9,22,9,12,6,9,11,6,-2,4,3.276145197,3.180045451,3.658597102,1.364476396,1.477100032,0.067121558,0.017597472,0.446427391,3.2,2.13,4,-6,-2,1,1,0,0,3.559701007,-2,-3,-5,-8,-4,-1,0,0,-13,-13,-0.494225212,-0.704955263,-0.618220116,-0.433143483,0,0.674185691,1.884481066,0.178534571,1.63,2
1.33,0,0,0,10,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,5,1.9,7,-6,1,0,1,1,0,1.109660928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.83,1
6.5,13,5,18,15,8,6,9,14,2,-5,-3,2.758067409,2.682883554,7.34660632,3.417137982,0.776950839,0.96322211,0.133468619,0.050792834,0.465131495,1.5,28,9,37,1,27,6,11,10,21,1,22,4.870708037,4.049068213,9.246683369,2.300106935,0.54041695,0.043936934,0.135335283,0.663638084,4.33,2.01,-3,7,4,0,0,0,1,1.074227251,4,-23,-19,-2,-5,3,-13,1,-26,-25,-2.112640629,-1.366184659,0.236533889,-1.336884825,0,-6.586716054,-5.829545386,-0.198506589,1.78,0
2.2,7,7,14,12,7,10,10,16,-3,-6,-9,2.407613673,2.442594154,8.313406344,4.960980736,1.183499602,1.825302871,0.106858473,0.007828378,0.596744647,3.4,16,1,17,13,12,12,9,21,0,-12,-12,2.490496544,2.324409097,4.881549661,1.579363505,1.859248922,0.106858473,0.007828378,0.524137504,3.25,1.89,0,1,1,0,0,0,0,1.376144926,6,-9,-3,-14,1,-2,4,9,-6,3,-0.082882871,0.118185057,-0.67574932,0.245939366,0,-1.000084142,0.079431075,0.072607143,1.85,0
3.5,7,3,10,5,6,4,5,6,2,-1,1,2.891482874,2.690285536,11.25632,6.525888,1.157632,1.028672,0.007226503,0.006839778,0.579753241,2.1,7,7,14,2,3,1,3,0,2,3,5,3.199261855,2.948479525,5.69344,0.608256,0.128,0.006181156,0.007828378,0.488115357,3.2,1.95,-3,6,3,1,0,0,1,0,0,-4,-4,6,1,4,3,-1,-3,-4,-0.30777898,-0.258193989,1.029632,0.420416,-1,-0.407808,0.832448,0.091637884,1.75,2
6,7,5,12,15,7,8,9,16,-1,-7,-8,2.362848537,2.428517375,9.814283839,3.461607396,0.851598275,1.521764101,0.055360503,0.021068,0.352711156,1.62,11,15,26,3,8,4,15,7,4,8,12,4.136623724,3.708723745,4.878573413,1.781624148,0.89581134,0.023077691,0.05502322,0.341031876,4.2,1.63,-2,4,2,0,0,0,1,1.774091152,-8,-6,-14,0,-7,5,8,-9,-11,-20,-1.773775187,-1.28020637,-0.044213064,-0.259860047,0,-4.491045827,-1.416966017,0.01167928,2.25,0
2.5,5,4,9,16,1,0,4,5,1,-1,0,2.723752717,2.535552302,9.578816,2.49728,0.691072,0.587072,0.008075755,0.005461674,0.26070863,3.1,3,6,9,6,3,4,5,3,-1,2,1,2.876000865,2.773181178,3.288832,0.739328,0.819776,0.007507854,0.006839778,0.368520696,3.3,2.13,0,0,0,0,0,0,0,0.403813724,-1,1,0,-2,-5,0,2,-1,0,-1,-0.152248149,-0.237628876,-0.128704,-0.152256,0,0.6544,-0.791552,-0.107812066,1.71,2
2.4,3,1,4,8,2,1,1,1,1,0,1,2.66275,2.56055,3.88,1.92,0.52,0.36,0.002120189,0.002176581,0.494845361,3.1,3,0,3,17,6,0,0,3,6,-3,3,2.76875,2.52655,3.28,1.2,0.48,0.002187491,0.001827146,0.640625,3.2,2.16,-1,0,-1,0,0,0,0,2.438900631,3,-2,1,-1,1,1,-5,4,-6,-2,-0.106,0.034,0.04,-0.84,0,-1.24,-1.36,-0.145779639,1.66,0
2.7,7,1,8,20,4,6,5,14,-2,-9,-11,2.075323531,2.178942922,8.939310796,4.540650883,0.649501914,1.379828497,0.055360503,0.003985869,0.507941942,2.5,14,6,20,7,11,5,6,6,6,0,6,3.326671343,3.130368192,3.898899302,0.861404674,0.713876469,0.047352347,0.021068,0.464092072,3.25,2.25,2,1,3,0,0,0,0,3.581749847,1,-13,-12,-2,0,0,3,-2,-15,-17,-1.251347812,-0.951425269,-0.064374555,0.518423823,0,0.53817762,0.641751581,0.04384987,1.58,0
2.2,33,23,56,5,24,17,24,25,7,-1,6,4.81065808,4.415717068,11.14749064,5.83096776,1.398339646,0.915098098,0.366604297,0.014920786,0.52307447,3,40,32,72,3,37,15,25,20,22,5,27,3.886183501,3.645671582,6.90733924,0.885658322,0.909166823,0.022794181,0.429557358,0.561013777,3.4,1.9,-10,11,1,0,0,0,1,1.036958183,1,-17,-16,4,-8,9,-12,2,-23,-21,0.924474579,0.770045487,0.489172822,0.029439776,0,-1.164754672,-1.07637148,-0.037939306,1.79,2
2.1,23,18,41,7,19,17,16,18,2,-2,0,3.978672677,3.793356901,10.14644741,5.6953921,0.894433867,0.630079983,0.514202106,0.034389637,0.561318841,3.75,18,14,32,16,17,18,12,21,-1,-9,-10,2.937334073,2.941558427,4.545928919,0.701148564,1.156015153,0.779991527,0.003379593,0.557719179,3.2,2.17,7,0,7,0,0,0,0,3.671399731,9,0,9,-2,5,-2,1,11,-1,10,1.041338605,0.851798474,-0.261581286,-0.071068581,0,1.995519331,1.14946318,0.003599662,1.63,1
1.615,30,15,45,6,26,10,15,21,16,-6,10,4.255419748,4.016757747,11.76229171,6.627727903,1.230342899,0.93987706,0.35834825,0.011678567,0.563472499,6,26,8,34,14,23,16,13,25,7,-12,-5,3.331252232,3.155033595,5.573505037,1.260690774,1.224833838,0.758623251,0.000262568,0.489116621,3.4,1.75,2,9,11,1,1,0,0,2.041965408,22,-11,11,1,-3,-1,-2,28,-13,15,0.924167516,0.861724152,0.00550906,-0.320813714,0,0.367248495,1.054222866,0.074355878,1.95,1
3.75,19,8,27,19,18,17,18,41,1,-23,-22,2.21863293,2.410768716,9.424569758,5.369811972,0.920415463,2.072965848,0.952683802,4.45E-07,0.569767333,1.9,36,18,54,6,28,13,20,22,15,-2,13,5,4.71844831,6.433642099,1.253846401,1.042930661,0.152314844,0.007828378,0.494790671,3.5,2,-2,1,-1,0,0,0,1,3.521106135,1,-28,-27,-4,-3,5,13,3,-38,-35,-2.78136707,-2.307679594,-0.122515198,0.819119447,0,-3.578185713,-1.063830127,0.074976662,1.71,1
1.909,4,0,4,19,5,1,1,3,4,-2,2,2.698969316,2.508343454,5.9648,3.184,1.0304,0.5184,0.004302874,0.002357862,0.533798283,4.333,3,4,7,8,3,5,3,1,-2,2,0,2.723816594,2.571350819,3.408,0.8064,0.6976,0.004084502,0.003606563,0.510668904,3.1,1.85,3,3,6,0,0,0,0,0.767365248,0,-3,-3,4,-2,-4,0,2,0,2,-0.024847277,-0.063007365,0.3328,-0.288,0,-0.7088,-0.224,0.023129379,1.85,2
1.44,7,6,13,2,4,1,2,1,3,1,4,3.17488081,2.875656537,14.088192,4.566272,0.763456,0.3024,0.006556999,0.007828378,0.324120512,8.5,3,2,5,16,4,4,0,1,0,-1,-1,2.493874493,2.570696405,1.632064,0.451072,0.7824,0.008160317,0.006409333,0.194275571,4.75,1.77,6,-1,5,1,0,0,0,0.127199198,5,3,8,3,1,-2,-3,4,1,5,0.681006317,0.304960132,-0.018944,-0.148672,0,5.687424,2.934208,0.129844941,2.05,2
